timestamp,transaction_count,total_value_transferred_eth,unique_active_wallets,avg_gas_price_gwei,total_gas_used
2025-03-13 19:00:00,52389,144168.7743,23308,2.0727,5414710176
2025-03-13 20:00:00,52110,125207.4406,23905,2.0325,5477581391
2025-03-13 21:00:00,47495,57656.0051,20644,2.2611,5521963399
2025-03-13 22:00:00,45783,29680.2153,18969,1.813,5426798417
2025-03-13 23:00:00,42569,41820.4035,18063,2.1363,5479035931
2025-03-14 00:00:00,41674,30789.106,17505,2.6799,5511890974
2025-03-14 01:00:00,40878,27512.7758,18421,1.8287,5483813705
2025-03-14 02:00:00,41948,28191.5141,18893,2.2151,5478226073
2025-03-14 03:00:00,39188,29996.9633,18163,2.173,5476006072
2025-03-14 04:00:00,37030,58109.447,17466,1.7166,5445435558
2025-03-14 05:00:00,36631,29201.2928,18376,1.6903,5457547909
2025-03-14 06:00:00,38217,33811.9634,17573,1.6258,5506566659
2025-03-14 07:00:00,42801,32451.8537,19221,1.814,5455320056
2025-03-14 08:00:00,50159,81752.8226,21564,3.7483,5429207019
2025-03-14 09:00:00,52094,109933.2999,22423,1.951,5494945360
2025-03-14 10:00:00,48928,53338.8021,21569,2.48,5502598924
2025-03-14 11:00:00,51474,42248.4047,21560,2.0892,5456275431
2025-03-14 12:00:00,61299,35289.6299,24018,2.0187,5429451834
2025-03-14 13:00:00,56204,109098.7024,24117,2.4395,5345246382
2025-03-14 14:00:00,56903,111221.0776,24285,4.3935,5491302988
2025-03-14 15:00:00,61337,215330.04,26335,3.4843,5497755018
2025-03-14 16:00:00,60461,86657.4522,26874,2.4253,5386022406
2025-03-14 17:00:00,58032,40742.0298,26912,2.2856,5397452636
2025-03-14 18:00:00,54951,101778.4064,25959,2.0858,5446245335
2025-03-14 19:00:00,52168,109196.9884,24280,2.6471,5458302445
2025-03-14 20:00:00,49765,38102.3377,22574,2.4235,5433859144
2025-03-14 21:00:00,45283,37046.484,20543,2.1622,5509073676
2025-03-14 22:00:00,43670,54873.732,18954,2.1835,5460506557
2025-03-14 23:00:00,43952,30531.7315,19426,1.9611,5435519509
2025-03-15 00:00:00,42492,26143.9933,19657,1.8916,5448151562
2025-03-15 01:00:00,40598,21939.2684,18430,1.8223,5444027053
2025-03-15 02:00:00,37703,28525.7446,16498,1.7552,5534777489
2025-03-15 03:00:00,38068,19771.6319,15712,2.154,5489771552
2025-03-15 04:00:00,35325,48259.1719,15218,1.8752,5511224796
2025-03-15 05:00:00,35972,15229.7026,15778,1.9383,5466169257
2025-03-15 06:00:00,36108,33588.0474,16897,1.6851,5462749823
2025-03-15 07:00:00,37800,33259.3335,17484,1.6859,5508646196
2025-03-15 08:00:00,38714,22972.7861,18000,1.6145,5489425880
2025-03-15 09:00:00,38474,30249.2011,18123,1.5605,5497223252
2025-03-15 10:00:00,38149,16976.4327,18000,1.636,5522201631
2025-03-15 11:00:00,39738,17156.0177,18662,1.7563,5462523609
2025-03-15 12:00:00,42028,27777.3939,19495,1.7729,5471506609
2025-03-15 13:00:00,44559,20133.6016,20208,1.9092,5478103864
2025-03-15 14:00:00,45586,30491.9244,20861,1.9013,5518733558
2025-03-15 15:00:00,43860,23219.8781,20440,1.8377,5468707704
2025-03-15 16:00:00,47178,22500.7642,21276,1.84,5422189299
2025-03-15 17:00:00,46365,46388.5811,20813,1.9651,5494539855
2025-03-15 18:00:00,47919,27648.8206,23171,2.1044,5495451664
2025-03-15 19:00:00,41611,18310.9693,18874,1.9558,5459787868
2025-03-15 20:00:00,46991,40982.4554,21626,2.6164,5544563693
2025-03-15 21:00:00,50122,48509.2108,20943,3.3842,5397805667
2025-03-15 22:00:00,45693,78597.8021,19475,2.1228,5440902204
2025-03-15 23:00:00,41548,46987.9059,18275,2.134,5453068316
2025-03-16 00:00:00,40520,34810.2978,17473,2.4455,5480944891
2025-03-16 01:00:00,39601,13279.7769,16635,2.5983,5475208026
2025-03-16 02:00:00,37164,17626.8232,16931,2.1398,5429614986
2025-03-16 03:00:00,36262,15477.0704,17833,1.6956,5493874039
2025-03-16 04:00:00,31115,14255.3092,13685,2.1604,5471671171
2025-03-16 05:00:00,31025,12963.6217,13846,1.7827,5520593018
2025-03-16 06:00:00,31845,17449.4566,14500,1.877,5468507127
2025-03-16 07:00:00,34903,18136.0139,15031,1.9023,5519565436
2025-03-16 08:00:00,34844,34530.3041,15434,1.7758,5463574086
2025-03-16 09:00:00,36521,35083.744,15448,2.0642,5523714823
2025-03-16 10:00:00,38361,136175.3362,16480,1.907,5479866939
2025-03-16 11:00:00,43226,58973.6928,17564,3.8587,5472284925
2025-03-16 12:00:00,41072,51245.6134,17480,2.1127,5439009475
2025-03-16 13:00:00,45375,45934.6331,18673,2.0901,5479706723
2025-03-16 14:00:00,51155,20569.8369,22729,2.2091,5505961336
2025-03-16 15:00:00,46549,33312.5402,20928,2.1798,5461830280
2025-03-16 16:00:00,52163,53363.8031,22119,3.0083,5440047899
2025-03-16 17:00:00,44211,24319.4475,19304,2.2155,5441151764
2025-03-16 18:00:00,44345,23673.4108,19756,2.1843,5394890411
2025-03-16 19:00:00,47512,23439.7604,21385,2.3669,5467113202
2025-03-16 20:00:00,44647,17387.5378,21284,1.6821,5445520700
2025-03-16 21:00:00,39308,15122.6361,18192,1.8947,5493676813
2025-03-16 22:00:00,40058,25862.9241,17464,2.1877,5540984467
2025-03-16 23:00:00,39384,26400.1656,16928,2.0764,5432562229
2025-03-17 00:00:00,38120,30230.7296,16427,2.2755,5493835603
2025-03-17 01:00:00,36832,112734.634,16070,2.195,5465009908
2025-03-17 02:00:00,36275,40345.1215,15834,2.2437,5513378506
2025-03-17 03:00:00,37087,26937.7888,15586,2.179,5478380195
2025-03-17 04:00:00,32516,41972.0059,14451,1.8866,5525868936
2025-03-17 05:00:00,32311,68616.3624,14755,1.7048,5504223410
2025-03-17 06:00:00,36139,52774.0689,16285,2.0006,5505101200
2025-03-17 07:00:00,37981,65567.3446,16642,2.2641,5580193223
2025-03-17 08:00:00,41613,61762.0522,18282,1.867,5394010901
2025-03-17 09:00:00,47623,68596.6918,20641,1.9945,5485636837
2025-03-17 10:00:00,51918,94681.4205,23348,2.0137,5456087722
2025-03-17 11:00:00,51046,80748.878,23064,1.7919,5495446133
2025-03-17 12:00:00,54781,106058.7538,24167,2.3449,5402843169
2025-03-17 13:00:00,57190,55842.5373,25201,2.4733,5443094325
2025-03-17 14:00:00,60239,124711.3926,27161,2.3145,5461173419
2025-03-17 15:00:00,59346,154814.8477,27267,2.3385,5337850764
2025-03-17 16:00:00,61111,81100.3293,27382,2.5897,5451960284
2025-03-17 17:00:00,57993,139234.2084,25626,2.153,5383106908
2025-03-17 18:00:00,62705,49183.0071,25224,4.3646,5582974109
2025-03-17 19:00:00,57044,58474.0214,24782,3.4102,5201618207
2025-03-17 20:00:00,51594,84101.011,22022,2.9442,5366395569
2025-03-17 21:00:00,49074,46181.9217,21544,2.1618,5456548696
2025-03-17 22:00:00,46194,44997.9404,20365,2.2733,5411971447
2025-03-17 23:00:00,42612,61716.0765,18819,2.085,5492738674
2025-03-18 00:00:00,41075,25119.7218,17502,1.8332,5477976998
2025-03-18 01:00:00,43410,20651.5599,18951,2.2546,5494208663
2025-03-18 02:00:00,40635,22759.6844,17806,2.5304,5445632447
2025-03-18 03:00:00,39512,44687.9965,17186,2.2762,5467529976
2025-03-18 04:00:00,35028,25462.6386,15204,2.0419,5490946416
2025-03-18 05:00:00,42223,23216.4528,20118,2.3832,5498109046
2025-03-18 06:00:00,47054,30924.5078,18712,3.8103,5387338091
2025-03-18 07:00:00,42186,61645.8254,18299,1.9933,5485010631
2025-03-18 08:00:00,45172,283792.1659,19608,1.8041,5466613573
2025-03-18 09:00:00,52504,367512.17,20479,1.9068,5374657647
2025-03-18 10:00:00,51244,57401.9112,21362,1.8044,5443167982
2025-03-18 11:00:00,52235,99778.3438,21503,1.7527,5354377359
2025-03-18 12:00:00,51488,111576.5961,21859,2.0147,5473209610
2025-03-18 13:00:00,53706,78634.2071,22818,2.4223,5521411373
2025-03-18 14:00:00,59648,105090.515,24927,2.4841,5400260720
2025-03-18 15:00:00,57704,132723.7442,27156,2.6454,5443280979
2025-03-18 16:00:00,56612,81262.771,26213,2.2624,5415276050
2025-03-18 17:00:00,56223,90212.3947,25624,3.0412,5396893981
2025-03-18 18:00:00,49772,96215.7121,22332,2.0331,5437129918
2025-03-18 19:00:00,48586,39725.0393,20933,2.3779,5413016171
2025-03-18 20:00:00,46499,56676.4681,20999,1.989,5397634587
2025-03-18 21:00:00,57094,62966.9305,22450,1.741,5483684232
2025-03-18 22:00:00,50384,49686.0559,21917,1.7292,5439064277
2025-03-18 23:00:00,45685,42031.4382,20610,1.8837,5500481178
2025-03-19 00:00:00,45506,101438.3475,20058,3.5066,5404057107
2025-03-19 01:00:00,40402,39265.0164,18160,2.4989,5485184811
2025-03-19 02:00:00,42752,59781.6879,17782,1.8577,5489947630
2025-03-19 03:00:00,40384,38159.6966,18284,1.8845,5433109512
2025-03-19 04:00:00,37747,38528.1002,16231,2.294,5478692159
2025-03-19 05:00:00,36297,32318.4571,15992,1.7446,5471176691
2025-03-19 06:00:00,39734,27993.109,18463,1.767,5468548782
2025-03-19 07:00:00,43244,44389.5669,20706,1.7029,5532719179
2025-03-19 08:00:00,44446,107981.9455,20305,1.7466,5407492168
2025-03-19 09:00:00,48094,76484.9162,22103,1.7791,5460093219
2025-03-19 10:00:00,50103,101108.2583,22073,2.6202,5461795029
2025-03-19 11:00:00,56010,219284.6267,22628,4.7446,5576983924
2025-03-19 12:00:00,58709,155221.8821,26166,3.1899,5296519814
2025-03-19 13:00:00,58834,73825.1206,25411,3.3751,5417928989
2025-03-19 14:00:00,61207,148882.6744,26954,4.586,5552376149
2025-03-19 15:00:00,61311,124755.2018,27868,3.2634,5367455645
2025-03-19 16:00:00,61634,111670.1527,27918,2.6654,5250203536
2025-03-19 17:00:00,58385,253500.4513,27001,2.1947,5415145017
2025-03-19 18:00:00,56697,161595.0976,25405,4.3399,5425681246
2025-03-19 19:00:00,60822,88806.0046,29445,2.4772,5365425171
2025-03-19 20:00:00,54686,40300.1384,24950,2.0602,5456388876
2025-03-19 21:00:00,52825,36605.435,24583,2.1054,5470406340
2025-03-19 22:00:00,51245,52249.1298,22801,2.0228,5485875252
2025-03-19 23:00:00,50575,55330.2248,22535,2.1251,5433092678
2025-03-20 00:00:00,50314,36633.0292,22725,2.1159,5452744376
