timestamp,transaction_count,total_value_transferred_btc,avg_fee_btc,total_size_used_mb
2024-03-12 08:00:00,12492,51634.8919,9.417e-05,8.5075
2024-03-12 09:00:00,14981,72398.0862,0.00011588,10.7183
2024-03-12 10:00:00,15684,24155.995,0.00010186,15.8264
2024-03-12 11:00:00,10174,20959.8285,0.00010025,4.7313
2024-03-12 12:00:00,21769,66885.585,0.00010149,13.1663
2024-03-12 13:00:00,12321,45278.3842,9.432e-05,8.2669
2024-03-12 14:00:00,25926,133448.2373,0.0001014,16.1153
2024-03-12 15:00:00,22670,43548.4665,9.596e-05,14.6285
2024-03-12 16:00:00,12238,88764.3111,0.00010399,8.2531
2024-03-12 17:00:00,15602,103401.895,0.00011287,8.3421
2024-03-12 18:00:00,15919,92204.1721,0.00013249,10.581
2024-03-12 19:00:00,18194,76611.317,9.517e-05,9.6257
2024-03-12 20:00:00,15284,94038.1583,0.00010926,8.197
2024-03-12 21:00:00,16387,61575.7922,0.0001161,14.5502
2024-03-12 22:00:00,9613,51135.8544,9.646e-05,4.6103
2024-03-12 23:00:00,12877,56623.3604,8.66e-05,7.9804
2024-03-13 00:00:00,19590,75724.4694,9.53e-05,15.6993
2024-03-13 01:00:00,10093,32614.0597,8.086e-05,7.3203
2024-03-13 02:00:00,14540,48357.2159,8.03e-05,11.24
2024-03-13 03:00:00,17355,39107.8614,8.333e-05,11.0215
2024-03-13 04:00:00,20186,54038.2406,9.483e-05,14.7244
2024-03-13 05:00:00,19632,22013.8195,6.372e-05,16.0784
2024-03-13 06:00:00,17188,29945.0284,8.941e-05,17.6995
2024-03-13 07:00:00,1750,11206.5824,0.00020823,1.1272
2024-03-13 08:00:00,16739,88798.1098,0.00010216,10.3098
2024-03-13 09:00:00,25799,78709.3865,8.464e-05,18.0917
2024-03-13 10:00:00,12988,37369.7185,8.692e-05,10.6002
2024-03-13 11:00:00,14299,66135.0052,8.212e-05,8.4862
2024-03-13 12:00:00,13783,55691.1758,8.076e-05,6.4412
2024-03-13 13:00:00,15230,52334.345,0.00010406,11.3042
2024-03-13 14:00:00,20215,96085.8449,9.443e-05,14.3953
2024-03-13 15:00:00,6515,74744.1599,0.00012061,3.0377
2024-03-13 16:00:00,23844,78881.3362,9.523e-05,13.2593
2024-03-13 17:00:00,20199,63857.4945,0.00010406,14.5518
2024-03-13 18:00:00,25010,60287.2593,9.93e-05,27.4975
2024-03-13 19:00:00,14194,265281.5246,8.036e-05,8.4504
2024-03-13 20:00:00,12116,96762.0951,8.483e-05,6.5492
2024-03-13 21:00:00,21139,78662.6805,7.906e-05,13.7479
2024-03-13 22:00:00,12237,50902.2755,9.286e-05,9.8256
2024-03-13 23:00:00,15317,68462.9872,0.00012147,14.5777
2024-03-14 00:00:00,12411,42569.8338,8.564e-05,10.3862
2024-03-14 01:00:00,9470,23478.3363,9.351e-05,10.3613
2024-03-14 02:00:00,17614,36525.0099,8.187e-05,16.7469
2024-03-14 03:00:00,11959,30450.5323,7.826e-05,10.6459
2024-03-14 04:00:00,7955,71053.8844,0.00011768,5.7581
2024-03-14 05:00:00,9298,35240.0448,0.00013443,10.5524
2024-03-14 06:00:00,15329,54021.2365,7.447e-05,9.7764
2024-03-14 07:00:00,14235,34028.1843,6.912e-05,10.3615
2024-03-14 08:00:00,17697,57575.6328,8.196e-05,12.7868
2024-03-14 09:00:00,11373,40869.8108,8.388e-05,8.2894
2024-03-14 10:00:00,11721,63520.3685,0.00012215,7.2886
2024-03-14 11:00:00,15933,25915.8325,8.332e-05,13.5782
2024-03-14 12:00:00,11557,30712.553,7.222e-05,6.309
2024-03-14 13:00:00,19194,144751.9684,8.418e-05,11.6607
2024-03-14 14:00:00,26651,62677.8019,8.366e-05,17.6441
2024-03-14 15:00:00,9863,90117.7303,0.00012005,6.2077
2024-03-14 16:00:00,11780,32491.4757,0.00014125,6.4318
2024-03-14 17:00:00,10669,37765.0819,0.00013717,6.4284
2024-03-14 18:00:00,13293,106494.4135,0.00015247,8.3906
2024-03-14 19:00:00,22254,51361.1819,0.00011732,13.3088
2024-03-14 20:00:00,13310,37658.9916,0.0001343,11.6913
2024-03-14 21:00:00,16138,77794.2538,0.00012127,10.8801
2024-03-14 22:00:00,2476,28785.9795,0.00022219,1.4196
2024-03-14 23:00:00,17385,59674.4549,0.00011659,9.5388
2024-03-15 00:00:00,10735,67191.6866,0.0001498,8.4329
2024-03-15 01:00:00,14767,35281.039,0.00011482,14.4613
2024-03-15 02:00:00,8363,34059.8734,0.00011488,6.7448
2024-03-15 03:00:00,11519,46537.1095,0.00010795,8.4454
2024-03-15 04:00:00,5107,36507.2068,0.00010834,3.222
2024-03-15 05:00:00,10575,48341.1808,0.00013517,5.9465
2024-03-15 06:00:00,16478,75949.257,0.00010608,11.7185
2024-03-15 07:00:00,9125,26102.9375,0.00011742,6.0972
2024-03-15 08:00:00,15426,40265.3751,0.00011549,14.0489
2024-03-15 09:00:00,11154,36119.5992,0.00010023,6.6325
2024-03-15 10:00:00,13668,56422.5631,0.00010327,7.9599
