timestamp,close_price,volume_base,volume_quote,transaction_count,successful_transaction_count,total_fee_sol,avg_fee_sol,market_cap
2025-02-11 09:00:00,203.131,383979.2608,78431450.4,16611503,14817484,467.0927,2.812e-05,100023531640.59
2025-02-11 10:00:00,202.6308,594195.3183,120351570.13,17154396,15094086,1671.3339,9.743e-05,99037784121.01
2025-02-11 11:00:00,203.6484,270777.2625,54957169.94,17109974,15020423,825.6343,4.825e-05,98807411322.76
2025-02-11 12:00:00,202.6832,370426.539,75066780.63,16919696,15025407,683.0809,4.037e-05,99141568020.91
2025-02-11 13:00:00,198.6883,704113.1374,141118710.06,16737991,15115259,933.7684,5.579e-05,98786699878.16
2025-02-11 14:00:00,200.061,635965.2443,126834161.18,17044993,15333156,992.3749,5.822e-05,97192379472.21
2025-02-11 15:00:00,199.7929,475285.5611,95051028.41,17205988,15413616,872.4332,5.071e-05,97445567959.05
2025-02-11 16:00:00,198.3553,352626.8703,70205628.88,17320887,15567135,1194.2502,6.895e-05,97616520767.46
2025-02-11 17:00:00,198.9142,514531.5664,101908060.57,17406323,15635034,1235.2047,7.096e-05,96783670943.05
2025-02-11 18:00:00,196.955,443397.651,87428836.5,17354942,15512972,1339.0325,7.716e-05,96694566441.75
2025-02-11 19:00:00,195.68,410468.3176,80481224.74,17421839,15521334,1715.9219,9.849e-05,95937068697.76
2025-02-11 20:00:00,196.7555,343553.6376,67506382.7,17270242,15283746,994.494,5.758e-05,95456125991.76
2025-02-11 21:00:00,198.6072,426464.6721,84424186.67,17175343,15227122,1472.5795,8.574e-05,96118786387.8
2025-02-11 22:00:00,196.9708,293657.7541,58338411.01,17465801,15406397,1385.9115,7.935e-05,96740751272.23
2025-02-11 23:00:00,198.2923,301709.0284,59781942.63,17305271,15224002,1739.6781,0.00010053,96196249207.67
2025-02-12 00:00:00,198.4051,265085.535,52601247.24,17191678,15047075,1392.4961,8.1e-05,96616487872.4
2025-02-12 01:00:00,197.6616,209721.3571,41499156.55,17281477,15082543,1337.1576,7.738e-05,96791737190.64
2025-02-12 02:00:00,195.9972,350609.1162,68948356.07,17177303,15086567,1015.2986,5.911e-05,96574558298.16
2025-02-12 03:00:00,194.6043,428532.5345,83586615.56,17261724,15108451,1024.3873,5.934e-05,95376661646.76
2025-02-12 04:00:00,194.7517,384971.9094,74858799.03,17419557,15249065,1316.8795,7.56e-05,95012698832.29
2025-02-12 05:00:00,196.0416,300120.5133,58787835.14,17065889,14896945,793.4564,4.649e-05,94830007700.48
2025-02-12 06:00:00,194.0351,299408.5725,58331765.83,17063315,15155043,581.7869,3.41e-05,95552662093.63
2025-02-12 07:00:00,195.5312,285931.2797,55867942.19,17036794,15004779,501.0972,2.941e-05,94681386555.73
2025-02-12 08:00:00,196.4566,205635.6953,40392780.04,16821787,14863471,420.5024,2.5e-05,95241034439.88
2025-02-12 09:00:00,196.9674,241997.4172,47491752.53,16751411,14785083,389.3354,2.324e-05,95724172952.96
2025-02-12 10:00:00,196.3137,180939.9838,35560827.27,16364251,14795745,367.3094,2.245e-05,96034804181.06
2025-02-12 11:00:00,197.6427,232120.2634,45814005.83,16305994,14508847,453.8016,2.783e-05,95634821545.25
2025-02-12 12:00:00,196.8047,238376.7734,47131315.09,16741126,14786712,457.5015,2.733e-05,96163338185.41
2025-02-12 13:00:00,192.3185,2476605.1965,477200910.36,16832403,15019581,759.5675,4.513e-05,96031348711.75
2025-02-12 14:00:00,193.7068,1046841.5402,200479535.79,17087366,15177811,740.8971,4.336e-05,93542556399.35
2025-02-12 15:00:00,192.2909,924419.8675,178178930.26,17295147,15366523,697.454,4.033e-05,93701207585.81
2025-02-12 16:00:00,194.9759,975899.8738,187180014.11,17313864,15393317,863.146,4.985e-05,93985992815.23
2025-02-12 17:00:00,195.3992,923442.0586,180483855.16,17554559,15562208,947.6608,5.398e-05,95077491304.9
2025-02-12 18:00:00,193.4063,514019.0867,99624049.68,17272839,15436930,935.6566,5.417e-05,95283168573.06
2025-02-12 19:00:00,193.9452,455288.4652,87905294.07,17126463,15344489,983.848,5.745e-05,94400193865.01
2025-02-12 20:00:00,194.8832,387530.6842,75429712.68,17198057,15422601,1049.4285,6.102e-05,94338426459.92
2025-02-12 21:00:00,196.1157,440260.1399,86290833.4,17354340,15349170,1031.4947,5.944e-05,94784048390.42
2025-02-12 22:00:00,197.3332,620288.3815,122507768.43,17309408,15349522,1096.2378,6.333e-05,95668861321.7
2025-02-12 23:00:00,197.0608,426719.185,84058264.61,17407359,15363796,1503.9428,8.64e-05,96126782457.53
2025-02-13 00:00:00,195.8118,359900.7052,70626036.55,17216724,15200219,1090.5946,6.335e-05,96028415697.75
2025-02-13 01:00:00,197.9192,380606.4951,74954487.35,16971916,14981564,1050.4676,6.189e-05,95533437276.54
2025-02-13 02:00:00,197.0831,267985.0825,52858021.67,16856585,14930361,700.8124,4.157e-05,96455546446.09
2025-02-13 03:00:00,198.4224,284355.7692,56301235.0,16650191,14723747,720.5561,4.328e-05,95971992855.49
2025-02-13 04:00:00,195.9912,260437.6848,51364239.88,16956084,14991870,1083.3648,6.389e-05,96601469213.07
2025-02-13 05:00:00,195.4202,228024.6415,44661367.36,16655179,14750300,654.072,3.927e-05,95512876782.55
