timestamp,close_price,volume_base,volume_quote,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-09-15 11:00:00,0.1048447447,73152472.7664,7677832.76,19399,187718620.65,0.055031,7595384
2024-09-15 12:00:00,0.1057279448,60918601.8778,6404123.05,12029,152964483.62,0.072712,4514444
2024-09-15 13:00:00,0.1057509515,91867074.5876,9713227.92,17484,202906137.72,0.05807,6144177
2024-09-15 14:00:00,0.1061177528,107796578.8066,11374740.36,8386,238888502.77,0.125541,3425935
2024-09-15 15:00:00,0.1063036641,89500780.2243,9504553.68,5048,233792240.03,0.213162,2822984
2024-09-15 16:00:00,0.1050424596,101575124.8425,10731901.67,5848,211377096.68,0.187846,2722872
2024-09-15 17:00:00,0.10547177,111169674.7658,11658831.82,4338,193004928.06,0.224603,2352077
2024-09-15 18:00:00,0.105774924,127101528.569,13412129.53,4764,205173526.27,0.217044,2381220
2024-09-15 19:00:00,0.1055728953,105578073.2787,11191121.43,4321,255910586.45,0.215617,2201371
2024-09-15 20:00:00,0.1051648414,83064757.6067,8720138.78,2906,124965322.7,0.280028,1582633
2024-09-15 21:00:00,0.1041627075,144657926.6451,15060699.43,5470,180839048.15,0.149619,2198047
2024-09-15 22:00:00,0.103997509,80931965.9191,8409984.79,9734,159249348.69,0.098164,4017677
2024-09-15 23:00:00,0.1029471852,166161938.8938,17119716.22,9881,224075149.53,0.099817,3973037
2024-09-16 00:00:00,0.1025030249,152968341.4763,15701505.41,8188,539151143.42,0.11495,3457733
2024-09-16 01:00:00,0.1013719414,216280211.2668,21983269.21,5480,236984001.1,0.144329,2480868
2024-09-16 02:00:00,0.1004214797,202473453.8749,20425751.34,4042,197830239.75,0.213235,1685627
2024-09-16 03:00:00,0.1016103424,102374916.261,10358218.17,3909,187548908.61,0.238489,2063930
2024-09-16 04:00:00,0.1012975189,53757357.0035,5459732.71,6523,117952084.89,0.126174,2955916
2024-09-16 05:00:00,0.1020610488,80582673.605,8193522.27,3678,178495224.76,0.198639,1834375
2024-09-16 06:00:00,0.1017590909,88012952.5215,8975984.71,3399,207013879.0,0.259867,2316744
2024-09-16 07:00:00,0.1027972011,98098564.3475,10034563.39,4546,244407698.86,0.239989,2237249
2024-09-16 08:00:00,0.1025410041,79915097.8329,8205303.65,5548,248099338.63,0.2029,2664065
2024-09-16 09:00:00,0.1018800806,101844639.8695,10422489.63,11053,100729321.6,0.086149,4464608
2024-09-16 10:00:00,0.1020929375,82552961.939,8412183.2,10937,194570457.24,0.12751,4992270
