timestamp,transaction_count,total_value_transferred_doge,avg_fee_doge,total_size_used_bytes
2024-01-09 12:00:00,2997,335639553.43,0.515792,2013276
2024-01-09 13:00:00,2952,236855852.11,0.610699,1929571
2024-01-09 14:00:00,3738,479065645.87,0.505492,2165453
2024-01-09 15:00:00,3709,235802701.64,0.448328,2796030
2024-01-09 16:00:00,3457,497475119.65,0.486696,2720992
2024-01-09 17:00:00,5940,1066223131.09,0.290468,3913801
2024-01-09 18:00:00,29224,397478836.75,0.068666,13350508
2024-01-09 19:00:00,22869,820074982.11,0.081262,11013400
2024-01-09 20:00:00,13930,413648214.68,0.117977,7704517
2024-01-09 21:00:00,15157,1260459037.32,0.197756,11991663
2024-01-09 22:00:00,17535,1397273049.2,0.366466,20914555
2024-01-09 23:00:00,16201,759044432.46,0.331899,18026187
2024-01-10 00:00:00,13172,956569691.65,0.439602,18493915
2024-01-10 01:00:00,11071,1260667863.71,0.475631,16624358
2024-01-10 02:00:00,18243,1096875746.0,0.41258,26380210
2024-01-10 03:00:00,14057,392552246.58,0.497005,21718814
2024-01-10 04:00:00,14460,881374908.1,0.449555,20760977
2024-01-10 05:00:00,11426,349732546.92,0.47161,16422624
2024-01-10 06:00:00,12611,708827861.08,0.456366,18202044
2024-01-10 07:00:00,14064,1087948103.77,0.459919,21317002
2024-01-10 08:00:00,12522,927586105.81,0.468612,18318076
2024-01-10 09:00:00,13053,737751817.66,0.437858,18992566
2024-01-10 10:00:00,14212,563146503.78,0.457733,20929783
2024-01-10 11:00:00,5087,666404148.02,0.317608,3728574
2024-01-10 12:00:00,5903,783837152.57,0.316008,2984289
2024-01-10 13:00:00,2868,667784079.45,0.527746,1837349
2024-01-10 14:00:00,6410,851152423.93,0.362334,4498902
2024-01-10 15:00:00,5005,691622595.13,0.422208,5360812
2024-01-10 16:00:00,4081,636259070.42,0.531288,3301872
2024-01-10 17:00:00,13194,540515261.83,0.563918,14445496
2024-01-10 18:00:00,3924,757034804.59,0.600264,3460532
2024-01-10 19:00:00,3042,431555878.99,0.569637,2793217
2024-01-10 20:00:00,9159,578649390.85,0.218852,6493345
2024-01-10 21:00:00,9230,1144475579.51,0.190345,6493086
2024-01-10 22:00:00,5023,917208614.92,0.37409,4727264
2024-01-10 23:00:00,5540,606603122.16,0.324297,5185337
2024-01-11 00:00:00,15375,590749346.08,0.109757,8376533
2024-01-11 01:00:00,19783,454681042.75,0.101551,10214065
2024-01-11 02:00:00,7446,600445247.41,0.315578,6539755
2024-01-11 03:00:00,6296,373275522.89,0.34531,5311076
2024-01-11 04:00:00,5751,447146246.73,0.377678,5285114
2024-01-11 05:00:00,6247,493945426.55,0.291978,4708759
2024-01-11 06:00:00,3711,586090164.88,0.467205,3118668
2024-01-11 07:00:00,4405,551659479.9,0.349578,3218659
2024-01-11 08:00:00,4681,590698390.76,0.363507,2843959
2024-01-11 09:00:00,4487,596978327.61,0.395181,2419524
2024-01-11 10:00:00,3975,634241617.81,0.465715,2618199
2024-01-11 11:00:00,3388,816199135.4,0.553623,2078772
2024-01-11 12:00:00,3993,892555142.35,0.464099,2278334
2024-01-11 13:00:00,5979,603917588.48,0.343767,3721845
2024-01-11 14:00:00,8444,877577401.35,0.272737,5277608
2024-01-11 15:00:00,15900,1216934037.27,0.153139,7398917
